YouTube Search interest: nicole scherzinger
United States; Jan 2008 - Jul 2015

Interest over time
Week,nicole scherzinger
2008-01-06 - 2008-01-12,9
2008-01-13 - 2008-01-19,9
2008-01-20 - 2008-01-26,11
2008-01-27 - 2008-02-02,12
2008-02-03 - 2008-02-09,10
2008-02-10 - 2008-02-16,9
2008-02-17 - 2008-02-23,9
2008-02-24 - 2008-03-01,8
2008-03-02 - 2008-03-08,6
2008-03-09 - 2008-03-15,9
2008-03-16 - 2008-03-22,8
2008-03-23 - 2008-03-29,6
2008-03-30 - 2008-04-05,6
2008-04-06 - 2008-04-12,6
2008-04-13 - 2008-04-19,5
2008-04-20 - 2008-04-26,6
2008-04-27 - 2008-05-03,5
2008-05-04 - 2008-05-10,6
2008-05-11 - 2008-05-17,7
2008-05-18 - 2008-05-24,5
2008-05-25 - 2008-05-31,7
2008-06-01 - 2008-06-07,7
2008-06-08 - 2008-06-14,9
2008-06-15 - 2008-06-21,14
2008-06-22 - 2008-06-28,11
2008-06-29 - 2008-07-05,10
2008-07-06 - 2008-07-12,11
2008-07-13 - 2008-07-19,12
2008-07-20 - 2008-07-26,12
2008-07-27 - 2008-08-02,11
2008-08-03 - 2008-08-09,11
2008-08-10 - 2008-08-16,13
2008-08-17 - 2008-08-23,10
2008-08-24 - 2008-08-30,13
2008-08-31 - 2008-09-06,10
2008-09-07 - 2008-09-13,10
2008-09-14 - 2008-09-20,10
2008-09-21 - 2008-09-27,12
2008-09-28 - 2008-10-04,12
2008-10-05 - 2008-10-11,10
2008-10-12 - 2008-10-18,10
2008-10-19 - 2008-10-25,8
2008-10-26 - 2008-11-01,11
2008-11-02 - 2008-11-08,13
2008-11-09 - 2008-11-15,12
2008-11-16 - 2008-11-22,9
2008-11-23 - 2008-11-29,11
2008-11-30 - 2008-12-06,8
2008-12-07 - 2008-12-13,10
2008-12-14 - 2008-12-20,9
2008-12-21 - 2008-12-27,6
2008-12-28 - 2009-01-03,8
2009-01-04 - 2009-01-10,9
2009-01-11 - 2009-01-17,7
2009-01-18 - 2009-01-24,10
2009-01-25 - 2009-01-31,10
2009-02-01 - 2009-02-07,9
2009-02-08 - 2009-02-14,9
2009-02-15 - 2009-02-21,10
2009-02-22 - 2009-02-28,10
2009-03-01 - 2009-03-07,10
2009-03-08 - 2009-03-14,11
2009-03-15 - 2009-03-21,11
2009-03-22 - 2009-03-28,12
2009-03-29 - 2009-04-04,10
2009-04-05 - 2009-04-11,12
2009-04-12 - 2009-04-18,9
2009-04-19 - 2009-04-25,10
2009-04-26 - 2009-05-02,8
2009-05-03 - 2009-05-09,9
2009-05-10 - 2009-05-16,11
2009-05-17 - 2009-05-23,6
2009-05-24 - 2009-05-30,9
2009-05-31 - 2009-06-06,11
2009-06-07 - 2009-06-13,8
2009-06-14 - 2009-06-20,11
2009-06-21 - 2009-06-27,9
2009-06-28 - 2009-07-04,7
2009-07-05 - 2009-07-11,6
2009-07-12 - 2009-07-18,7
2009-07-19 - 2009-07-25,5
2009-07-26 - 2009-08-01,8
2009-08-02 - 2009-08-08,6
2009-08-09 - 2009-08-15,7
2009-08-16 - 2009-08-22,9
2009-08-23 - 2009-08-29,8
2009-08-30 - 2009-09-05,7
2009-09-06 - 2009-09-12,6
2009-09-13 - 2009-09-19,6
2009-09-20 - 2009-09-26,6
2009-09-27 - 2009-10-03,6
2009-10-04 - 2009-10-10,6
2009-10-11 - 2009-10-17,5
2009-10-18 - 2009-10-24,6
2009-10-25 - 2009-10-31,6
2009-11-01 - 2009-11-07,7
2009-11-08 - 2009-11-14,7
2009-11-15 - 2009-11-21,7
2009-11-22 - 2009-11-28,7
2009-11-29 - 2009-12-05,6
2009-12-06 - 2009-12-12,7
2009-12-13 - 2009-12-19,10
2009-12-20 - 2009-12-26,7
2009-12-27 - 2010-01-02,9
2010-01-03 - 2010-01-09,9
2010-01-10 - 2010-01-16,7
2010-01-17 - 2010-01-23,8
2010-01-24 - 2010-01-30,7
2010-01-31 - 2010-02-06,7
2010-02-07 - 2010-02-13,8
2010-02-14 - 2010-02-20,9
2010-02-21 - 2010-02-27,7
2010-02-28 - 2010-03-06,8
2010-03-07 - 2010-03-13,8
2010-03-14 - 2010-03-20,8
2010-03-21 - 2010-03-27,15
2010-03-28 - 2010-04-03,14
2010-04-04 - 2010-04-10,14
2010-04-11 - 2010-04-17,13
2010-04-18 - 2010-04-24,15
2010-04-25 - 2010-05-01,12
2010-05-02 - 2010-05-08,12
2010-05-09 - 2010-05-15,15
2010-05-16 - 2010-05-22,17
2010-05-23 - 2010-05-29,29
2010-05-30 - 2010-06-05,13
2010-06-06 - 2010-06-12,8
2010-06-13 - 2010-06-19,9
2010-06-20 - 2010-06-26,11
2010-06-27 - 2010-07-03,9
2010-07-04 - 2010-07-10,9
2010-07-11 - 2010-07-17,7
2010-07-18 - 2010-07-24,8
2010-07-25 - 2010-07-31,8
2010-08-01 - 2010-08-07,7
2010-08-08 - 2010-08-14,11
2010-08-15 - 2010-08-21,8
2010-08-22 - 2010-08-28,8
2010-08-29 - 2010-09-04,9
2010-09-05 - 2010-09-11,9
2010-09-12 - 2010-09-18,8
2010-09-19 - 2010-09-25,12
2010-09-26 - 2010-10-02,11
2010-10-03 - 2010-10-09,10
2010-10-10 - 2010-10-16,13
2010-10-17 - 2010-10-23,12
2010-10-24 - 2010-10-30,13
2010-10-31 - 2010-11-06,15
2010-11-07 - 2010-11-13,14
2010-11-14 - 2010-11-20,17
2010-11-21 - 2010-11-27,15
2010-11-28 - 2010-12-04,17
2010-12-05 - 2010-12-11,17
2010-12-12 - 2010-12-18,15
2010-12-19 - 2010-12-25,13
2010-12-26 - 2011-01-01,13
2011-01-02 - 2011-01-08,11
2011-01-09 - 2011-01-15,13
2011-01-16 - 2011-01-22,10
2011-01-23 - 2011-01-29,10
2011-01-30 - 2011-02-05,11
2011-02-06 - 2011-02-12,10
2011-02-13 - 2011-02-19,8
2011-02-20 - 2011-02-26,10
2011-02-27 - 2011-03-05,9
2011-03-06 - 2011-03-12,9
2011-03-13 - 2011-03-19,9
2011-03-20 - 2011-03-26,10
2011-03-27 - 2011-04-02,12
2011-04-03 - 2011-04-09,11
2011-04-10 - 2011-04-16,10
2011-04-17 - 2011-04-23,12
2011-04-24 - 2011-04-30,10
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,33
2011-05-15 - 2011-05-21,39
2011-05-22 - 2011-05-28,46
2011-05-29 - 2011-06-04,46
2011-06-05 - 2011-06-11,54
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,73
2011-06-26 - 2011-07-02,82
2011-07-03 - 2011-07-09,90
2011-07-10 - 2011-07-16,100
2011-07-17 - 2011-07-23,97
2011-07-24 - 2011-07-30,95
2011-07-31 - 2011-08-06,81
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,58
2011-08-28 - 2011-09-03,45
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,46
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,46
2011-10-09 - 2011-10-15,43
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,41
2011-10-30 - 2011-11-05,38
2011-11-06 - 2011-11-12,43
2011-11-13 - 2011-11-19,35
2011-11-20 - 2011-11-26,28
2011-11-27 - 2011-12-03,27
2011-12-04 - 2011-12-10,31
2011-12-11 - 2011-12-17,49
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,33
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,24
2012-01-15 - 2012-01-21,24
2012-01-22 - 2012-01-28,22
2012-01-29 - 2012-02-04,23
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,25
2012-02-19 - 2012-02-25,22
2012-02-26 - 2012-03-03,21
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,18
2012-03-25 - 2012-03-31,14
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,17
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,15
2012-05-06 - 2012-05-12,14
2012-05-13 - 2012-05-19,17
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,13
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,13
2012-07-29 - 2012-08-04,13
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,12
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,12
2012-09-09 - 2012-09-15,16
2012-09-16 - 2012-09-22,16
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,16
2012-10-07 - 2012-10-13,22
2012-10-14 - 2012-10-20,15
2012-10-21 - 2012-10-27,15
2012-10-28 - 2012-11-03,12
2012-11-04 - 2012-11-10,13
2012-11-11 - 2012-11-17,12
2012-11-18 - 2012-11-24,14
2012-11-25 - 2012-12-01,13
2012-12-02 - 2012-12-08,11
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,10
2012-12-23 - 2012-12-29,9
2012-12-30 - 2013-01-05,9
2013-01-06 - 2013-01-12,12
2013-01-13 - 2013-01-19,8
2013-01-20 - 2013-01-26,12
2013-01-27 - 2013-02-02,13
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,10
2013-02-17 - 2013-02-23,9
2013-02-24 - 2013-03-02,10
2013-03-03 - 2013-03-09,11
2013-03-10 - 2013-03-16,11
2013-03-17 - 2013-03-23,10
2013-03-24 - 2013-03-30,9
2013-03-31 - 2013-04-06,9
2013-04-07 - 2013-04-13,10
2013-04-14 - 2013-04-20,10
2013-04-21 - 2013-04-27,11
2013-04-28 - 2013-05-04,8
2013-05-05 - 2013-05-11,9
2013-05-12 - 2013-05-18,9
2013-05-19 - 2013-05-25,10
2013-05-26 - 2013-06-01,9
2013-06-02 - 2013-06-08,10
2013-06-09 - 2013-06-15,8
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,9
2013-06-30 - 2013-07-06,9
2013-07-07 - 2013-07-13,10
2013-07-14 - 2013-07-20,8
2013-07-21 - 2013-07-27,8
2013-07-28 - 2013-08-03,7
2013-08-04 - 2013-08-10,8
2013-08-11 - 2013-08-17,7
2013-08-18 - 2013-08-24,8
2013-08-25 - 2013-08-31,8
2013-09-01 - 2013-09-07,9
2013-09-08 - 2013-09-14,9
2013-09-15 - 2013-09-21,8
2013-09-22 - 2013-09-28,8
2013-09-29 - 2013-10-05,9
2013-10-06 - 2013-10-12,9
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,8
2013-10-27 - 2013-11-02,7
2013-11-03 - 2013-11-09,7
2013-11-10 - 2013-11-16,8
2013-11-17 - 2013-11-23,7
2013-11-24 - 2013-11-30,8
2013-12-01 - 2013-12-07,7
2013-12-08 - 2013-12-14,6
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,8
2013-12-29 - 2014-01-04,8
2014-01-05 - 2014-01-11,7
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,7
2014-02-02 - 2014-02-08,6
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,5
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,5
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,6
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,4
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,7
2014-06-08 - 2014-06-14,7
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,6
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,6
2014-09-28 - 2014-10-04,8
2014-10-05 - 2014-10-11,6
2014-10-12 - 2014-10-18,8
2014-10-19 - 2014-10-25,7
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,9
2014-12-21 - 2014-12-27,9
2014-12-28 - 2015-01-03,6
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,6
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,7
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,6
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,6
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,5
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,4
2015-04-19 - 2015-04-25,6
2015-04-26 - 2015-05-02,6
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,5
2015-05-17 - 2015-05-23,5
2015-05-24 - 2015-05-30,6
2015-05-31 - 2015-06-06,5
2015-06-07 - 2015-06-13,5
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,5
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,4
2015-07-26 - 2015-08-01,4


Top sub-regions for nicole scherzinger
Sub-region,nicole scherzinger
Hawaii,100
New York,65
Rhode Island,61
California,61
Arizona,57
Massachusetts,56
New Mexico,56
New Jersey,54
Pennsylvania,54
Maine,52
North Dakota,51
Nevada,51
Florida,50
Michigan,50
West Virginia,50
Maryland,49
Connecticut,49
Washington,49
New Hampshire,48
Montana,47
Ohio,46
South Dakota,46
Texas,46
Iowa,45
Minnesota,45
Illinois,44
Delaware,44
Wisconsin,43
Colorado,43
Utah,43
North Carolina,42
Kentucky,41
Nebraska,41
