YouTube Search interest: pink
United States; Jan 2008 - Jul 2015

Interest over time
Week,pink
2008-01-06 - 2008-01-12,29
2008-01-13 - 2008-01-19,29
2008-01-20 - 2008-01-26,27
2008-01-27 - 2008-02-02,27
2008-02-03 - 2008-02-09,28
2008-02-10 - 2008-02-16,27
2008-02-17 - 2008-02-23,27
2008-02-24 - 2008-03-01,27
2008-03-02 - 2008-03-08,27
2008-03-09 - 2008-03-15,27
2008-03-16 - 2008-03-22,25
2008-03-23 - 2008-03-29,25
2008-03-30 - 2008-04-05,25
2008-04-06 - 2008-04-12,23
2008-04-13 - 2008-04-19,24
2008-04-20 - 2008-04-26,25
2008-04-27 - 2008-05-03,24
2008-05-04 - 2008-05-10,23
2008-05-11 - 2008-05-17,24
2008-05-18 - 2008-05-24,24
2008-05-25 - 2008-05-31,24
2008-06-01 - 2008-06-07,25
2008-06-08 - 2008-06-14,25
2008-06-15 - 2008-06-21,25
2008-06-22 - 2008-06-28,24
2008-06-29 - 2008-07-05,27
2008-07-06 - 2008-07-12,25
2008-07-13 - 2008-07-19,27
2008-07-20 - 2008-07-26,26
2008-07-27 - 2008-08-02,26
2008-08-03 - 2008-08-09,29
2008-08-10 - 2008-08-16,28
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,49
2008-08-31 - 2008-09-06,56
2008-09-07 - 2008-09-13,81
2008-09-14 - 2008-09-20,83
2008-09-21 - 2008-09-27,76
2008-09-28 - 2008-10-04,66
2008-10-05 - 2008-10-11,64
2008-10-12 - 2008-10-18,69
2008-10-19 - 2008-10-25,72
2008-10-26 - 2008-11-01,73
2008-11-02 - 2008-11-08,71
2008-11-09 - 2008-11-15,67
2008-11-16 - 2008-11-22,63
2008-11-23 - 2008-11-29,77
2008-11-30 - 2008-12-06,62
2008-12-07 - 2008-12-13,59
2008-12-14 - 2008-12-20,59
2008-12-21 - 2008-12-27,58
2008-12-28 - 2009-01-03,55
2009-01-04 - 2009-01-10,52
2009-01-11 - 2009-01-17,57
2009-01-18 - 2009-01-24,55
2009-01-25 - 2009-01-31,56
2009-02-01 - 2009-02-07,55
2009-02-08 - 2009-02-14,50
2009-02-15 - 2009-02-21,50
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,47
2009-03-08 - 2009-03-14,45
2009-03-15 - 2009-03-21,44
2009-03-22 - 2009-03-28,43
2009-03-29 - 2009-04-04,38
2009-04-05 - 2009-04-11,43
2009-04-12 - 2009-04-18,41
2009-04-19 - 2009-04-25,40
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,40
2009-05-10 - 2009-05-16,40
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,39
2009-05-31 - 2009-06-06,38
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,37
2009-06-21 - 2009-06-27,37
2009-06-28 - 2009-07-04,37
2009-07-05 - 2009-07-11,36
2009-07-12 - 2009-07-18,37
2009-07-19 - 2009-07-25,36
2009-07-26 - 2009-08-01,36
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,36
2009-08-16 - 2009-08-22,37
2009-08-23 - 2009-08-29,36
2009-08-30 - 2009-09-05,36
2009-09-06 - 2009-09-12,35
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,49
2009-10-04 - 2009-10-10,46
2009-10-11 - 2009-10-17,43
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,45
2009-11-01 - 2009-11-07,44
2009-11-08 - 2009-11-14,45
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,47
2009-12-06 - 2009-12-12,43
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,37
2009-12-27 - 2010-01-02,37
2010-01-03 - 2010-01-09,38
2010-01-10 - 2010-01-16,37
2010-01-17 - 2010-01-23,36
2010-01-24 - 2010-01-30,35
2010-01-31 - 2010-02-06,97
2010-02-07 - 2010-02-13,51
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,38
2010-03-07 - 2010-03-13,36
2010-03-14 - 2010-03-20,36
2010-03-21 - 2010-03-27,41
2010-03-28 - 2010-04-03,36
2010-04-04 - 2010-04-10,34
2010-04-11 - 2010-04-17,34
2010-04-18 - 2010-04-24,35
2010-04-25 - 2010-05-01,35
2010-05-02 - 2010-05-08,37
2010-05-09 - 2010-05-15,37
2010-05-16 - 2010-05-22,34
2010-05-23 - 2010-05-29,34
2010-05-30 - 2010-06-05,35
2010-06-06 - 2010-06-12,37
2010-06-13 - 2010-06-19,34
2010-06-20 - 2010-06-26,37
2010-06-27 - 2010-07-03,33
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,40
2010-07-18 - 2010-07-24,39
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,34
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,34
2010-08-22 - 2010-08-28,34
2010-08-29 - 2010-09-04,33
2010-09-05 - 2010-09-11,33
2010-09-12 - 2010-09-18,36
2010-09-19 - 2010-09-25,34
2010-09-26 - 2010-10-02,33
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,39
2010-10-17 - 2010-10-23,45
2010-10-24 - 2010-10-30,48
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,71
2010-11-21 - 2010-11-27,82
2010-11-28 - 2010-12-04,70
2010-12-05 - 2010-12-11,62
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,60
2011-01-02 - 2011-01-08,60
2011-01-09 - 2011-01-15,62
2011-01-16 - 2011-01-22,78
2011-01-23 - 2011-01-29,99
2011-01-30 - 2011-02-05,100
2011-02-06 - 2011-02-12,92
2011-02-13 - 2011-02-19,79
2011-02-20 - 2011-02-26,77
2011-02-27 - 2011-03-05,74
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,64
2011-03-27 - 2011-04-02,61
2011-04-03 - 2011-04-09,62
2011-04-10 - 2011-04-16,58
2011-04-17 - 2011-04-23,55
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,54
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,46
2011-05-29 - 2011-06-04,47
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,44
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,41
2011-08-07 - 2011-08-13,42
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,40
2011-09-11 - 2011-09-17,40
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,42
2011-10-02 - 2011-10-08,40
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,38
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,36
2011-11-06 - 2011-11-12,38
2011-11-13 - 2011-11-19,36
2011-11-20 - 2011-11-26,37
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,36
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,38
2012-01-01 - 2012-01-07,37
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,37
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,37
2012-03-18 - 2012-03-24,37
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,37
2012-04-22 - 2012-04-28,34
2012-04-29 - 2012-05-05,34
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,35
2012-05-20 - 2012-05-26,35
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,34
2012-06-10 - 2012-06-16,34
2012-06-17 - 2012-06-23,33
2012-06-24 - 2012-06-30,32
2012-07-01 - 2012-07-07,38
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,50
2012-08-19 - 2012-08-25,46
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,52
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,53
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,51
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,68
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,49
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,49
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,50
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,56
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,63
2013-03-17 - 2013-03-23,72
2013-03-24 - 2013-03-30,76
2013-03-31 - 2013-04-06,78
2013-04-07 - 2013-04-13,81
2013-04-14 - 2013-04-20,86
2013-04-21 - 2013-04-27,89
2013-04-28 - 2013-05-04,86
2013-05-05 - 2013-05-11,88
2013-05-12 - 2013-05-18,86
2013-05-19 - 2013-05-25,81
2013-05-26 - 2013-06-01,73
2013-06-02 - 2013-06-08,71
