YouTube Search interest: soundgarden
United States; Jan 2008 - Jul 2015

Interest over time
Week,soundgarden
2008-01-06 - 2008-01-12,35
2008-01-13 - 2008-01-19,27
2008-01-20 - 2008-01-26,26
2008-01-27 - 2008-02-02,45
2008-02-03 - 2008-02-09,33
2008-02-10 - 2008-02-16,33
2008-02-17 - 2008-02-23,23
2008-02-24 - 2008-03-01,28
2008-03-02 - 2008-03-08,33
2008-03-09 - 2008-03-15,27
2008-03-16 - 2008-03-22,28
2008-03-23 - 2008-03-29,44
2008-03-30 - 2008-04-05,38
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,31
2008-04-20 - 2008-04-26,29
2008-04-27 - 2008-05-03,34
2008-05-04 - 2008-05-10,24
2008-05-11 - 2008-05-17,35
2008-05-18 - 2008-05-24,35
2008-05-25 - 2008-05-31,32
2008-06-01 - 2008-06-07,29
2008-06-08 - 2008-06-14,32
2008-06-15 - 2008-06-21,36
2008-06-22 - 2008-06-28,28
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,35
2008-07-13 - 2008-07-19,40
2008-07-20 - 2008-07-26,36
2008-07-27 - 2008-08-02,36
2008-08-03 - 2008-08-09,39
2008-08-10 - 2008-08-16,30
2008-08-17 - 2008-08-23,33
2008-08-24 - 2008-08-30,31
2008-08-31 - 2008-09-06,35
2008-09-07 - 2008-09-13,30
2008-09-14 - 2008-09-20,34
2008-09-21 - 2008-09-27,31
2008-09-28 - 2008-10-04,38
2008-10-05 - 2008-10-11,37
2008-10-12 - 2008-10-18,30
2008-10-19 - 2008-10-25,41
2008-10-26 - 2008-11-01,30
2008-11-02 - 2008-11-08,28
2008-11-09 - 2008-11-15,30
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,38
2008-11-30 - 2008-12-06,32
2008-12-07 - 2008-12-13,26
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,32
2008-12-28 - 2009-01-03,34
2009-01-04 - 2009-01-10,43
2009-01-11 - 2009-01-17,34
2009-01-18 - 2009-01-24,36
2009-01-25 - 2009-01-31,30
2009-02-01 - 2009-02-07,36
2009-02-08 - 2009-02-14,33
2009-02-15 - 2009-02-21,28
2009-02-22 - 2009-02-28,33
2009-03-01 - 2009-03-07,33
2009-03-08 - 2009-03-14,35
2009-03-15 - 2009-03-21,33
2009-03-22 - 2009-03-28,37
2009-03-29 - 2009-04-04,33
2009-04-05 - 2009-04-11,31
2009-04-12 - 2009-04-18,30
2009-04-19 - 2009-04-25,35
2009-04-26 - 2009-05-02,24
2009-05-03 - 2009-05-09,32
2009-05-10 - 2009-05-16,29
2009-05-17 - 2009-05-23,31
2009-05-24 - 2009-05-30,32
2009-05-31 - 2009-06-06,25
2009-06-07 - 2009-06-13,28
2009-06-14 - 2009-06-20,25
2009-06-21 - 2009-06-27,25
2009-06-28 - 2009-07-04,28
2009-07-05 - 2009-07-11,28
2009-07-12 - 2009-07-18,31
2009-07-19 - 2009-07-25,27
2009-07-26 - 2009-08-01,28
2009-08-02 - 2009-08-08,27
2009-08-09 - 2009-08-15,26
2009-08-16 - 2009-08-22,28
2009-08-23 - 2009-08-29,27
2009-08-30 - 2009-09-05,31
2009-09-06 - 2009-09-12,33
2009-09-13 - 2009-09-19,29
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,27
2009-10-04 - 2009-10-10,27
2009-10-11 - 2009-10-17,30
2009-10-18 - 2009-10-24,30
2009-10-25 - 2009-10-31,26
2009-11-01 - 2009-11-07,30
2009-11-08 - 2009-11-14,30
2009-11-15 - 2009-11-21,32
2009-11-22 - 2009-11-28,27
2009-11-29 - 2009-12-05,22
2009-12-06 - 2009-12-12,34
2009-12-13 - 2009-12-19,31
2009-12-20 - 2009-12-26,33
2009-12-27 - 2010-01-02,29
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,37
2010-01-24 - 2010-01-30,34
2010-01-31 - 2010-02-06,34
2010-02-07 - 2010-02-13,29
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,34
2010-02-28 - 2010-03-06,36
2010-03-07 - 2010-03-13,29
2010-03-14 - 2010-03-20,30
2010-03-21 - 2010-03-27,35
2010-03-28 - 2010-04-03,29
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,47
2010-04-25 - 2010-05-01,38
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,32
2010-05-16 - 2010-05-22,32
