YouTube Search interest: sia
United States; Jan 2008 - Jul 2015

Interest over time
Week,sia
2008-01-06 - 2008-01-12,4
2008-01-13 - 2008-01-19,4
2008-01-20 - 2008-01-26,3
2008-01-27 - 2008-02-02,4
2008-02-03 - 2008-02-09,4
2008-02-10 - 2008-02-16,4
2008-02-17 - 2008-02-23,4
2008-02-24 - 2008-03-01,4
2008-03-02 - 2008-03-08,3
2008-03-09 - 2008-03-15,4
2008-03-16 - 2008-03-22,3
2008-03-23 - 2008-03-29,3
2008-03-30 - 2008-04-05,3
2008-04-06 - 2008-04-12,3
2008-04-13 - 2008-04-19,3
2008-04-20 - 2008-04-26,3
2008-04-27 - 2008-05-03,3
2008-05-04 - 2008-05-10,4
2008-05-11 - 2008-05-17,4
2008-05-18 - 2008-05-24,3
2008-05-25 - 2008-05-31,3
2008-06-01 - 2008-06-07,3
2008-06-08 - 2008-06-14,3
2008-06-15 - 2008-06-21,3
2008-06-22 - 2008-06-28,3
2008-06-29 - 2008-07-05,2
2008-07-06 - 2008-07-12,2
2008-07-13 - 2008-07-19,2
2008-07-20 - 2008-07-26,2
2008-07-27 - 2008-08-02,3
2008-08-03 - 2008-08-09,3
2008-08-10 - 2008-08-16,4
2008-08-17 - 2008-08-23,4
2008-08-24 - 2008-08-30,3
2008-08-31 - 2008-09-06,2
2008-09-07 - 2008-09-13,4
2008-09-14 - 2008-09-20,4
2008-09-21 - 2008-09-27,4
2008-09-28 - 2008-10-04,3
2008-10-05 - 2008-10-11,3
2008-10-12 - 2008-10-18,3
2008-10-19 - 2008-10-25,3
2008-10-26 - 2008-11-01,2
2008-11-02 - 2008-11-08,4
2008-11-09 - 2008-11-15,5
2008-11-16 - 2008-11-22,5
2008-11-23 - 2008-11-29,3
2008-11-30 - 2008-12-06,6
2008-12-07 - 2008-12-13,5
2008-12-14 - 2008-12-20,5
2008-12-21 - 2008-12-27,4
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,4
2009-01-11 - 2009-01-17,4
2009-01-18 - 2009-01-24,3
2009-01-25 - 2009-01-31,4
2009-02-01 - 2009-02-07,3
2009-02-08 - 2009-02-14,3
2009-02-15 - 2009-02-21,3
2009-02-22 - 2009-02-28,3
2009-03-01 - 2009-03-07,3
2009-03-08 - 2009-03-14,3
2009-03-15 - 2009-03-21,3
2009-03-22 - 2009-03-28,3
2009-03-29 - 2009-04-04,3
2009-04-05 - 2009-04-11,3
2009-04-12 - 2009-04-18,3
2009-04-19 - 2009-04-25,3
2009-04-26 - 2009-05-02,3
2009-05-03 - 2009-05-09,3
2009-05-10 - 2009-05-16,3
2009-05-17 - 2009-05-23,2
2009-05-24 - 2009-05-30,3
2009-05-31 - 2009-06-06,3
2009-06-07 - 2009-06-13,3
2009-06-14 - 2009-06-20,3
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,3
2009-07-05 - 2009-07-11,2
2009-07-12 - 2009-07-18,3
2009-07-19 - 2009-07-25,3
2009-07-26 - 2009-08-01,2
2009-08-02 - 2009-08-08,3
2009-08-09 - 2009-08-15,2
2009-08-16 - 2009-08-22,2
2009-08-23 - 2009-08-29,3
2009-08-30 - 2009-09-05,3
2009-09-06 - 2009-09-12,3
