YouTube Search interest: whitney houston
United States; Jan 2008 - Jul 2015

Interest over time
Week,whitney houston
2008-01-06 - 2008-01-12,2
2008-01-13 - 2008-01-19,2
2008-01-20 - 2008-01-26,2
2008-01-27 - 2008-02-02,2
2008-02-03 - 2008-02-09,2
2008-02-10 - 2008-02-16,2
2008-02-17 - 2008-02-23,2
2008-02-24 - 2008-03-01,2
2008-03-02 - 2008-03-08,2
2008-03-09 - 2008-03-15,2
2008-03-16 - 2008-03-22,1
2008-03-23 - 2008-03-29,2
2008-03-30 - 2008-04-05,2
2008-04-06 - 2008-04-12,2
2008-04-13 - 2008-04-19,2
2008-04-20 - 2008-04-26,2
2008-04-27 - 2008-05-03,2
2008-05-04 - 2008-05-10,2
2008-05-11 - 2008-05-17,2
2008-05-18 - 2008-05-24,2
2008-05-25 - 2008-05-31,1
2008-06-01 - 2008-06-07,1
2008-06-08 - 2008-06-14,2
2008-06-15 - 2008-06-21,2
2008-06-22 - 2008-06-28,2
2008-06-29 - 2008-07-05,2
2008-07-06 - 2008-07-12,2
2008-07-13 - 2008-07-19,2
2008-07-20 - 2008-07-26,2
2008-07-27 - 2008-08-02,2
2008-08-03 - 2008-08-09,2
2008-08-10 - 2008-08-16,2
2008-08-17 - 2008-08-23,2
2008-08-24 - 2008-08-30,2
2008-08-31 - 2008-09-06,2
2008-09-07 - 2008-09-13,2
2008-09-14 - 2008-09-20,2
2008-09-21 - 2008-09-27,2
2008-09-28 - 2008-10-04,2
2008-10-05 - 2008-10-11,2
2008-10-12 - 2008-10-18,2
2008-10-19 - 2008-10-25,2
2008-10-26 - 2008-11-01,2
2008-11-02 - 2008-11-08,2
2008-11-09 - 2008-11-15,2
2008-11-16 - 2008-11-22,2
2008-11-23 - 2008-11-29,2
2008-11-30 - 2008-12-06,2
2008-12-07 - 2008-12-13,2
2008-12-14 - 2008-12-20,2
2008-12-21 - 2008-12-27,2
2008-12-28 - 2009-01-03,2
2009-01-04 - 2009-01-10,2
2009-01-11 - 2009-01-17,2
2009-01-18 - 2009-01-24,2
2009-01-25 - 2009-01-31,2
2009-02-01 - 2009-02-07,3
2009-02-08 - 2009-02-14,4
2009-02-15 - 2009-02-21,2
2009-02-22 - 2009-02-28,2
2009-03-01 - 2009-03-07,2
2009-03-08 - 2009-03-14,2
2009-03-15 - 2009-03-21,2
2009-03-22 - 2009-03-28,2
2009-03-29 - 2009-04-04,2
2009-04-05 - 2009-04-11,2
2009-04-12 - 2009-04-18,2
2009-04-19 - 2009-04-25,2
2009-04-26 - 2009-05-02,2
2009-05-03 - 2009-05-09,2
2009-05-10 - 2009-05-16,2
2009-05-17 - 2009-05-23,2
2009-05-24 - 2009-05-30,2
2009-05-31 - 2009-06-06,2
2009-06-07 - 2009-06-13,2
2009-06-14 - 2009-06-20,1
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,2
2009-07-05 - 2009-07-11,2
2009-07-12 - 2009-07-18,2
2009-07-19 - 2009-07-25,3
2009-07-26 - 2009-08-01,3
2009-08-02 - 2009-08-08,3
2009-08-09 - 2009-08-15,3
2009-08-16 - 2009-08-22,3
2009-08-23 - 2009-08-29,3
2009-08-30 - 2009-09-05,7
2009-09-06 - 2009-09-12,5
2009-09-13 - 2009-09-19,10
2009-09-20 - 2009-09-26,5
2009-09-27 - 2009-10-03,4
2009-10-04 - 2009-10-10,4
2009-10-11 - 2009-10-17,3
2009-10-18 - 2009-10-24,3
2009-10-25 - 2009-10-31,3
2009-11-01 - 2009-11-07,3
2009-11-08 - 2009-11-14,3
2009-11-15 - 2009-11-21,3
2009-11-22 - 2009-11-28,5
2009-11-29 - 2009-12-05,3
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,3
2009-12-20 - 2009-12-26,3
2009-12-27 - 2010-01-02,2
2010-01-03 - 2010-01-09,2
2010-01-10 - 2010-01-16,2
2010-01-17 - 2010-01-23,2
2010-01-24 - 2010-01-30,2
2010-01-31 - 2010-02-06,3
2010-02-07 - 2010-02-13,3
2010-02-14 - 2010-02-20,2
2010-02-21 - 2010-02-27,3
2010-02-28 - 2010-03-06,3
2010-03-07 - 2010-03-13,2
2010-03-14 - 2010-03-20,2
2010-03-21 - 2010-03-27,2
2010-03-28 - 2010-04-03,2
2010-04-04 - 2010-04-10,5
2010-04-11 - 2010-04-17,5
2010-04-18 - 2010-04-24,4
2010-04-25 - 2010-05-01,3
2010-05-02 - 2010-05-08,3
2010-05-09 - 2010-05-15,3
2010-05-16 - 2010-05-22,2
2010-05-23 - 2010-05-29,2
2010-05-30 - 2010-06-05,2
2010-06-06 - 2010-06-12,2
2010-06-13 - 2010-06-19,2
2010-06-20 - 2010-06-26,2
2010-06-27 - 2010-07-03,2
2010-07-04 - 2010-07-10,2
2010-07-11 - 2010-07-17,2
2010-07-18 - 2010-07-24,2
2010-07-25 - 2010-07-31,2
2010-08-01 - 2010-08-07,2
2010-08-08 - 2010-08-14,2
2010-08-15 - 2010-08-21,2
2010-08-22 - 2010-08-28,2
2010-08-29 - 2010-09-04,2
2010-09-05 - 2010-09-11,2
2010-09-12 - 2010-09-18,2
2010-09-19 - 2010-09-25,2
2010-09-26 - 2010-10-02,2
2010-10-03 - 2010-10-09,2
2010-10-10 - 2010-10-16,2
2010-10-17 - 2010-10-23,2
2010-10-24 - 2010-10-30,2
2010-10-31 - 2010-11-06,2
2010-11-07 - 2010-11-13,2
2010-11-14 - 2010-11-20,2
2010-11-21 - 2010-11-27,2
2010-11-28 - 2010-12-04,2
2010-12-05 - 2010-12-11,2
2010-12-12 - 2010-12-18,2
2010-12-19 - 2010-12-25,2
2010-12-26 - 2011-01-01,2
2011-01-02 - 2011-01-08,2
2011-01-09 - 2011-01-15,2
2011-01-16 - 2011-01-22,2
2011-01-23 - 2011-01-29,2
2011-01-30 - 2011-02-05,3
2011-02-06 - 2011-02-12,3
2011-02-13 - 2011-02-19,2
2011-02-20 - 2011-02-26,2
2011-02-27 - 2011-03-05,2
2011-03-06 - 2011-03-12,2
2011-03-13 - 2011-03-19,2
2011-03-20 - 2011-03-26,2
2011-03-27 - 2011-04-02,2
2011-04-03 - 2011-04-09,2
2011-04-10 - 2011-04-16,2
2011-04-17 - 2011-04-23,2
2011-04-24 - 2011-04-30,2
2011-05-01 - 2011-05-07,2
2011-05-08 - 2011-05-14,2
2011-05-15 - 2011-05-21,2
2011-05-22 - 2011-05-28,2
2011-05-29 - 2011-06-04,2
2011-06-05 - 2011-06-11,2
2011-06-12 - 2011-06-18,2
2011-06-19 - 2011-06-25,2
2011-06-26 - 2011-07-02,2
2011-07-03 - 2011-07-09,2
2011-07-10 - 2011-07-16,2
2011-07-17 - 2011-07-23,1
2011-07-24 - 2011-07-30,2
2011-07-31 - 2011-08-06,2
2011-08-07 - 2011-08-13,2
2011-08-14 - 2011-08-20,2
2011-08-21 - 2011-08-27,2
2011-08-28 - 2011-09-03,2
2011-09-04 - 2011-09-10,2
2011-09-11 - 2011-09-17,2
2011-09-18 - 2011-09-24,2
2011-09-25 - 2011-10-01,2
2011-10-02 - 2011-10-08,2
2011-10-09 - 2011-10-15,2
2011-10-16 - 2011-10-22,2
2011-10-23 - 2011-10-29,2
2011-10-30 - 2011-11-05,2
2011-11-06 - 2011-11-12,2
2011-11-13 - 2011-11-19,2
2011-11-20 - 2011-11-26,2
2011-11-27 - 2011-12-03,2
2011-12-04 - 2011-12-10,2
2011-12-11 - 2011-12-17,2
2011-12-18 - 2011-12-24,2
2011-12-25 - 2011-12-31,2
2012-01-01 - 2012-01-07,2
2012-01-08 - 2012-01-14,2
2012-01-15 - 2012-01-21,2
2012-01-22 - 2012-01-28,2
2012-01-29 - 2012-02-04,2
2012-02-05 - 2012-02-11,2
2012-02-12 - 2012-02-18,100
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,12
2012-03-04 - 2012-03-10,11
2012-03-11 - 2012-03-17,10
2012-03-18 - 2012-03-24,8
2012-03-25 - 2012-03-31,7
2012-04-01 - 2012-04-07,6
2012-04-08 - 2012-04-14,5
2012-04-15 - 2012-04-21,5
2012-04-22 - 2012-04-28,6
2012-04-29 - 2012-05-05,5
2012-05-06 - 2012-05-12,4
2012-05-13 - 2012-05-19,4
2012-05-20 - 2012-05-26,5
2012-05-27 - 2012-06-02,4
2012-06-03 - 2012-06-09,4
2012-06-10 - 2012-06-16,3
2012-06-17 - 2012-06-23,3
2012-06-24 - 2012-06-30,4
2012-07-01 - 2012-07-07,5
